experiment_id,status,phase,method,model,seed,config_path,commit,dataset_hash,env_version,verifier_version,started_at,finished_at,artifacts_path,notes
policy_eval_qwen3_0_6b_base_mail_v0_2_pilot_seed20260912,completed_engineering_pilot,phase2,native_policy_eval_pilot,Qwen/Qwen3-0.6B,20260912,configs/evaluation/policy_qwen3_0_6b_base_pilot.yaml,cf79b38,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,2026-09-13T20:01:55+08:00,2026-09-13T20:14:05+08:00,outputs/runs/phase2/policy_eval_qwen3_0_6b_base_mail_v0_2_pilot_seed20260912,60 balanced validation cases; JSON-valid 0.1000; Schema-valid 0; generation sha256 06aa19d9d4fc07358521ef6db4e6273c661748f8df1b751929538ca6480868b8; protected fail-closed on all outputs; frozen test sealed; not Gate B evidence
policy_eval_qwen3_0_6b_sft_mail_v0_2_pilot_seed20260912,completed_engineering_pilot,phase2,native_policy_eval_pilot,Qwen/Qwen3-0.6B,20260912,configs/evaluation/policy_qwen3_0_6b_sft_pilot.yaml,cf79b38,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,2026-09-13T20:02:43+08:00,2026-09-13T20:07:47+08:00,outputs/runs/phase2/policy_eval_qwen3_0_6b_sft_mail_v0_2_pilot_seed20260912,60 balanced validation cases; JSON-valid 0.9500; Schema-valid 0 due extra wrapper/wrong keys; generation sha256 58bef2f019bd0dd93953060d9c6b773ea5170ee9b13aca658299aaebc8b57709; frozen test sealed; not Gate B evidence
policy_eval_qwen3_0_6b_dpo_mail_v0_2_pilot_seed20260912,completed_engineering_pilot,phase2,native_policy_eval_pilot,Qwen/Qwen3-0.6B,20260912,configs/evaluation/policy_qwen3_0_6b_dpo_pilot.yaml,cf79b38,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,2026-09-13T20:02:43+08:00,2026-09-13T20:11:10+08:00,outputs/runs/phase2/policy_eval_qwen3_0_6b_dpo_mail_v0_2_pilot_seed20260912,60 balanced validation cases; JSON-valid 0.9333; Schema-valid 0 due extra wrapper/wrong keys; generation sha256 bad1384b39bf01558d2c852ac7de42e8e1025028c98d6d5b078d5c8c7d86b1cd; frozen test sealed; not Gate B evidence
sft_qwen3_0_6b_mail_v0_2_calibration64_seed20260912,completed_engineering_calibration,phase2,sft_lora_dose_calibration,Qwen/Qwen3-0.6B,20260912,configs/sft/qwen3_0_6b_calibration64.yaml,c8ea7bd,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,2026-09-13T20:20:35+08:00,2026-09-13T20:27:16+08:00,outputs/runs/phase2/sft_qwen3_0_6b_mail_v0_2_calibration64_seed20260912,64 optimizer steps and effective 256 training examples; final eval loss 0.070978; eval token accuracy 0.972794; adapter sha256 70632d4eceb0f4dcf545fbe92c436264924213f06b3420f943acc3dd6128ef0c; pipeline smoke only
policy_eval_qwen3_0_6b_sft64_mail_v0_2_pilot_seed20260912,completed_engineering_pilot,phase2,native_policy_eval_pilot,Qwen/Qwen3-0.6B,20260912,configs/evaluation/policy_qwen3_0_6b_sft64_pilot.yaml,c8ea7bd,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,2026-09-13T20:28:08+08:00,2026-09-13T20:40:38+08:00,outputs/runs/phase2/policy_eval_qwen3_0_6b_sft64_mail_v0_2_pilot_seed20260912,Same 60-case sample; JSON-valid 0.9667; Schema-valid 0.9167; field-complete 0.6667; corrected mode macro-F1 0.1706; PVR 0.2632; UPR 0.6500; Shield Rate 0.7333; valid predictions 54 execute and 1 block with 5 invalid; generation sha256 9fdef0c125b3c060fced23182170d54d4d37ce8079691cb95275021db081612b; run manifest claim text mistakenly says eight-step but registry and config establish 64-step source; not Gate B evidence
dpo_qwen3_0_6b_sft64_mail_v0_2_calibration32_seed20260912,completed_engineering_calibration,phase2,dpo_sigmoid_dose_calibration,Qwen/Qwen3-0.6B,20260912,configs/preference/qwen3_0_6b_sft64_dpo32.yaml,4a5f3f4,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,2026-09-13T20:44:15+08:00,2026-09-13T20:52:02+08:00,outputs/runs/phase2/dpo_qwen3_0_6b_sft64_mail_v0_2_calibration32_seed20260912,32 optimizer steps and effective 128 preference pairs; final eval loss 0.001855; preference accuracy 1.0; reward margin 8.643895; adapter sha256 1976a763e839afa52b228a98c40402b513c12b0c8d129a23500b8993342b50ca; pipeline smoke only
policy_eval_qwen3_0_6b_dpo32_mail_v0_2_pilot_seed20260912,completed_engineering_pilot,phase2,native_policy_eval_pilot,Qwen/Qwen3-0.6B,20260912,configs/evaluation/policy_qwen3_0_6b_dpo32_pilot.yaml,4a5f3f4,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,2026-09-13T20:53:00+08:00,2026-09-13T20:56:53+08:00,outputs/runs/phase2/policy_eval_qwen3_0_6b_dpo32_mail_v0_2_pilot_seed20260912,Same 60-case sample; JSON-valid 1.0; Schema-valid and field-complete 0.75; corrected mode accuracy 0.4167 and macro-F1 0.2381; PVR 0; UPR 0; format-or-safety failure and Shield Rate 0.25; 45 valid block and 15 invalid outputs with no valid ask or execute; generation sha256 6fa948af7a0a67956b575d1174f4f62bf43d31b2d9deff544422557c51978ff6; not Gate B evidence
policy_eval_qwen3_0_6b_dose_comparison_20260913,completed,phase2,same_sample_dose_comparison,Qwen/Qwen3-0.6B,20260912,configs/evaluation/,d59f596,d23487bf985daf0d2ba0e916c4e5240725d9f7a4d1b1ad3ef3efb1e02eded5ba,0.1.0,0.1.0,,2026-09-13T21:00:00+08:00,experiments/phase2/policy_eval_qwen3_0_6b_mail_v0_2_dose_comparison.json,Base/SFT8/DPO8/SFT64/DPO32 rescored on identical ordered 60-case sample; scorer requires Schema validity for mode credit; artifact sha256 542bf49a43bf3e58ed0c044d32105854cb0bd0b9f46e9704d8058a0c136203b5; frozen test sealed; not Gate B evidence
sft_qwen3_0_6b_mail_v0_2_balanced64_seed20260912,completed_engineering_calibration,phase2,sft_lora_mode_balance_diagnostic,Qwen/Qwen3-0.6B,20260912,configs/sft/qwen3_0_6b_balanced64.yaml,8584f3b,4a6a4bb97c44a2cdea2c7c53b0b828c2d49cbc7ba50f712a41799e93ced9cd95,0.1.0,0.1.0,,,outputs/runs/phase2/sft_qwen3_0_6b_mail_v0_2_balanced64_seed20260912,64 steps; deterministic no-duplication 746/746/746 balance; eval loss 0.05038; token accuracy 0.98415; adapter sha256 5a4b2e741367725a479b394d947bf2c999fd913d1b11c1f4cceae79808185fdc; frozen test sealed; not Gate B evidence
policy_eval_qwen3_0_6b_balanced64_mail_v0_2_pilot_seed20260912,completed_engineering_pilot,phase2,native_policy_eval_pilot,Qwen/Qwen3-0.6B,20260912,configs/evaluation/policy_qwen3_0_6b_balanced64_pilot.yaml,8584f3b,4a6a4bb97c44a2cdea2c7c53b0b828c2d49cbc7ba50f712a41799e93ced9cd95,0.1.0,0.1.0,,,outputs/runs/phase2/policy_eval_qwen3_0_6b_balanced64_mail_v0_2_pilot_seed20260912,Same 60 cases; JSON and Schema 1.0; macro-F1 0.4661; PVR 1.0; UPR 0; FBR 0.4; Shield 0; predicted ask50 block1 execute9; generation sha256 c8e600ccea6fdbf02bb2209e195831e60b569c072fba1ca5a2e828e602ebbc40; frozen test sealed; not Gate B evidence
dpo_qwen3_0_6b_balanced64_contrastive32_mail_v0_2_seed20260912,completed_engineering_diagnostic,phase2,dpo_bidirectional_contrast_diagnostic,Qwen/Qwen3-0.6B,20260912,configs/preference/qwen3_0_6b_balanced64_contrastive32.yaml,8584f3b,4a6a4bb97c44a2cdea2c7c53b0b828c2d49cbc7ba50f712a41799e93ced9cd95,0.1.0,0.1.0,,,outputs/runs/phase2/dpo_qwen3_0_6b_balanced64_contrastive32_mail_v0_2_seed20260912,32 matched-dose steps; eval preference accuracy 1.0 and margin 6.9412 but generation structure collapsed; adapter sha256 64e29c862af246fc4eb486013d5fec89fbd0af625b43934c73b1090107bc5c9c; frozen test sealed; not Gate B evidence
policy_eval_qwen3_0_6b_balanced64_contrastive32_mail_v0_2_pilot_seed20260912,completed_engineering_pilot,phase2,native_policy_eval_pilot,Qwen/Qwen3-0.6B,20260912,configs/evaluation/policy_qwen3_0_6b_balanced64_contrastive32_pilot.yaml,8584f3b,4a6a4bb97c44a2cdea2c7c53b0b828c2d49cbc7ba50f712a41799e93ced9cd95,0.1.0,0.1.0,,,outputs/runs/phase2/policy_eval_qwen3_0_6b_balanced64_contrastive32_mail_v0_2_pilot_seed20260912,Same 60 cases; JSON 0.9167; Schema 0.15; macro-F1 0.0460; PVR 0; UPR 0 non-informative; failure and Shield 0.85; predicted invalid51 ask9; generation sha256 040b52c9b1ed018887de05bdb46908c125117712c08a70d64bfc9701f43d914c; frozen test sealed; not Gate B evidence
dpo_qwen3_0_6b_balanced64_contrastive32_sftloss_mail_v0_2_seed20260912,completed_engineering_diagnostic,phase2,dpo_contrastive_chosen_likelihood_diagnostic,Qwen/Qwen3-0.6B,20260912,configs/preference/qwen3_0_6b_balanced64_contrastive32_sftloss.yaml,2080fe9,4a6a4bb97c44a2cdea2c7c53b0b828c2d49cbc7ba50f712a41799e93ced9cd95,0.1.0,0.1.0,,,outputs/runs/phase2/dpo_qwen3_0_6b_balanced64_contrastive32_sftloss_mail_v0_2_seed20260912,Pre-registered equal-weight sigmoid plus chosen SFT; 32 matched-dose steps; eval loss 0.09076; preference accuracy 1.0; margin 5.2510; token accuracy 0.9800; adapter sha256 e7b7bf594a3c51409da4706c2184feadb4db5fd1ec2cf6232ad84b22889b7714; frozen test sealed; not Gate B evidence
policy_eval_qwen3_0_6b_balanced64_contrastive32_sftloss_mail_v0_2_pilot_seed20260912,completed_engineering_pilot,phase2,native_policy_eval_pilot,Qwen/Qwen3-0.6B,20260912,configs/evaluation/policy_qwen3_0_6b_balanced64_contrastive32_sftloss_pilot.yaml,2080fe9,4a6a4bb97c44a2cdea2c7c53b0b828c2d49cbc7ba50f712a41799e93ced9cd95,0.1.0,0.1.0,,,outputs/runs/phase2/policy_eval_qwen3_0_6b_balanced64_contrastive32_sftloss_mail_v0_2_pilot_seed20260912,Same 60 cases; JSON 0.9; Schema and complete 0.7167; macro-F1 0.4245; PVR 0; UPR 0; FBR 0.0667; failure and Shield 0.2833; predicted invalid17 ask23 block20 execute0; generation sha256 d068017a82b15f0959249f4103cbc5ee58dfd4e87730dc4c74a4ea61dd1ae438; DPO branch stopped per ADR-0005; frozen test sealed; not Gate B evidence
policy_eval_qwen3_0_6b_chosen_likelihood_diagnostic,completed_engineering_diagnostic,phase2,same_sample_mechanism_diagnostic,Qwen/Qwen3-0.6B,20260912,docs/adr/ADR-0005-chosen-likelihood-preservation.md,b989f51,4a6a4bb97c44a2cdea2c7c53b0b828c2d49cbc7ba50f712a41799e93ced9cd95,0.1.0,0.1.0,,,experiments/phase2/policy_eval_qwen3_0_6b_chosen_likelihood_diagnostic.json,Pre-registered fixed-dose comparison artifact sha256 a5f15fb58e42c16575e2c51495dd9b0f495570fe0a3bac04f716605b9f9d69f3; partial structure recovery but no execute; frozen test sealed; not Gate B evidence
policy_eval_qwen3_0_6b_chosen_likelihood_failure_analysis,completed_post_hoc_diagnostic,phase2,retained_output_failure_analysis,Qwen/Qwen3-0.6B,20260912,scripts/analyze_policy_failures.py,b989f51,9c0d2b954a48b39cc25b61e5493c2835d84c89689abdc1f3f586691e8ec752f2,0.1.0,0.1.0,,,experiments/phase2/policy_eval_qwen3_0_6b_chosen_likelihood_failure_analysis.json,Read-only diagnostic artifact sha256 dd733fafc1c29f256b1e00fab9e5e274aa34827b5e0491e6bfcbe2fc2fa6f86e; regex intent never changes primary metrics; 14 of 17 invalid outputs attempted execute; frozen test sealed
dynacapa_mail_v0_3_six_mode_semantic_pilot,completed_semantic_pilot,phase2,six_mode_blinded_review_pilot,N/A,20260913,scripts/build_six_mode_pilot.py,899817c,f24537aae0c0e3e85352700e762dd1b4652024593c1ff7236d3fb3b4df27a99b,0.1.0,0.1.0,,,data/manifests/dynacapa_mail_v0_3_six_mode_semantic_pilot.manifest.json,Manifest sha256 ceca000902a6a0851c2d2272422cb12e1d088d742abecdcd75916567cc228677; 60 disjoint train-source cases and 10 per mode; blinded review and answer hashes independently match on Windows/Linux; validation and frozen test untouched; training_eligible false
